ARREST_DATE,YEAR,MONTH,F,M,V,TOTAL,FELONY_RATIO,OPACITY
2006-01-01,2006,1,164,348,32,544,0.3014705882352940,0.3014705882352940
2006-01-02,2006,1,168,418,29,615,0.2731707317073170,0.2731707317073170
2006-01-03,2006,1,300,556,36,892,0.336322869955157,0.336322869955157
2006-01-04,2006,1,341,829,51,1221,0.27927927927927900,0.27927927927927900
2006-01-05,2006,1,442,866,68,1376,0.32122093023255800,0.32122093023255800
2006-01-06,2006,1,398,774,66,1238,0.32148626817447500,0.32148626817447500
2006-01-07,2006,1,238,603,47,888,0.268018018018018,0.268018018018018
2006-01-08,2006,1,181,412,34,627,0.2886762360446570,0.2886762360446570
2006-01-09,2006,1,243,590,50,883,0.27519818799547000,0.27519818799547000
2006-01-10,2006,1,353,899,55,1307,0.2700841622035200,0.2700841622035200
2006-01-11,2006,1,356,810,49,1215,0.29300411522633700,0.29300411522633700
2006-01-12,2006,1,385,814,59,1258,0.30604133545310000,0.30604133545310000
2006-01-13,2006,1,377,811,68,1256,0.3001592356687900,0.3001592356687900
2006-01-14,2006,1,232,575,39,846,0.27423167848699800,0.27423167848699800
2006-01-15,2006,1,128,321,28,477,0.26834381551362700,0.26834381551362700
2006-01-16,2006,1,155,519,32,706,0.21954674220963200,0.21954674220963200
2006-01-17,2006,1,335,749,42,1126,0.2975133214920070,0.2975133214920070
2006-01-18,2006,1,364,772,49,1185,0.3071729957805910,0.3071729957805910
2006-01-19,2006,1,424,816,63,1303,0.3254029163468920,0.3254029163468920
2006-01-20,2006,1,333,669,79,1081,0.3080481036077710,0.3080481036077710
2006-01-21,2006,1,221,631,56,908,0.2433920704845820,0.2433920704845820
2006-01-22,2006,1,150,500,50,700,0.21428571428571400,0.21428571428571400
2006-01-23,2006,1,204,610,35,849,0.24028268551236700,0.24028268551236700
2006-01-24,2006,1,336,869,61,1266,0.26540284360189600,0.26540284360189600
2006-01-25,2006,1,408,848,57,1313,0.31073876618431100,0.31073876618431100
2006-01-26,2006,1,350,828,66,1244,0.28135048231511300,0.28135048231511300
2006-01-27,2006,1,304,728,88,1120,0.2714285714285710,0.2714285714285710
2006-01-28,2006,1,252,632,74,958,0.2630480167014610,0.2630480167014610
2006-01-29,2006,1,163,469,46,678,0.24041297935103200,0.24041297935103200
2006-01-30,2006,1,204,551,48,803,0.25404732254047300,0.25404732254047300
2006-01-31,2006,1,271,669,53,993,0.2729103726082580,0.2729103726082580
2006-02-01,2006,2,394,898,54,1346,0.29271916790490300,0.29271916790490300
2006-02-02,2006,2,391,878,80,1349,0.28984432913269100,0.28984432913269100
2006-02-03,2006,2,343,834,111,1288,0.266304347826087,0.266304347826087
2006-02-04,2006,2,262,666,70,998,0.2625250501002000,0.2625250501002000
2006-02-05,2006,2,161,365,37,563,0.28596802841918300,0.28596802841918300
2006-02-06,2006,2,219,601,41,861,0.25435540069686400,0.25435540069686400
2006-02-07,2006,2,326,901,63,1290,0.2527131782945740,0.2527131782945740
2006-02-08,2006,2,401,959,67,1427,0.28100911002102300,0.28100911002102300
2006-02-09,2006,2,373,880,70,1323,0.2819349962207110,0.2819349962207110
2006-02-10,2006,2,325,791,58,1174,0.2768313458262350,0.2768313458262350
2006-02-11,2006,2,209,558,47,814,0.25675675675675700,0.25675675675675700
2006-02-12,2006,2,57,172,4,233,0.2446351931330470,0.2446351931330470
2006-02-13,2006,2,137,442,37,616,0.2224025974025970,0.2224025974025970
2006-02-14,2006,2,223,626,64,913,0.244249726177437,0.244249726177437
2006-02-15,2006,2,379,922,62,1363,0.2780630961115190,0.2780630961115190
2006-02-16,2006,2,397,899,88,1384,0.28684971098265900,0.28684971098265900
2006-02-17,2006,2,347,821,64,1232,0.28165584415584400,0.28165584415584400
2006-02-18,2006,2,240,690,49,979,0.24514811031665000,0.24514811031665000
2006-02-19,2006,2,146,455,41,642,0.22741433021806900,0.22741433021806900
2006-02-20,2006,2,199,634,53,886,0.22460496613995500,0.22460496613995500
2006-02-21,2006,2,283,828,51,1162,0.24354561101549100,0.24354561101549100
2006-02-22,2006,2,399,890,73,1362,0.29295154185022000,0.29295154185022000
2006-02-23,2006,2,318,751,54,1123,0.2831700801424760,0.2831700801424760
2006-02-24,2006,2,312,700,55,1067,0.2924086223055300,0.2924086223055300
2006-02-25,2006,2,235,595,52,882,0.26643990929705200,0.26643990929705200
2006-02-26,2006,2,144,443,26,613,0.23491027732463300,0.23491027732463300
2006-02-27,2006,2,195,601,30,826,0.2360774818401940,0.2360774818401940
2006-02-28,2006,2,261,698,52,1011,0.258160237388724,0.258160237388724
2006-03-01,2006,3,387,920,52,1359,0.2847682119205300,0.2847682119205300
