source,target,relationship,type
licklider,symbiosis,created,directed
symbiosis,sutherland,inspired,directed
sutherland,sketchpad,created,directed
sketchpad,gui,enabled,directed
sketchpad,oop,enabled,directed
sketchpad,interaction,enabled,directed
sketchpad,cad,enabled,directed
oop,kay,inspired,directed
kay,smalltalk,created,directed
gui,alto,inspired,directed
interaction,papert,inspired,directed
papert,logo,created,directed
cad,catia,enabled,directed
cad,autocad,enabled,directed
cad,proe,enabled,directed
proe,solidworks,inspired,directed
cad,rhino,enabled,directed
cad,blender,enabled,directed
logo,processing,inspired,directed
